Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Preu_mitja_habitatge;Valor
2020;1;7;Horta-Guinardó;41;la Vall d'Hebron;Total. Milers d'euros;234.6
2020;1;7;Horta-Guinardó;42;la Clota;Total. Milers d'euros;
2020;1;7;Horta-Guinardó;43;Horta;Total. Milers d'euros;278.1
2020;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Total. Milers d'euros;206.8
2020;1;8;Nou Barris;45;Porta;Total. Milers d'euros;223.0
2020;1;8;Nou Barris;46;el Turó de la Peira;Total. Milers d'euros;158.5
2020;1;8;Nou Barris;47;Can Peguera;Total. Milers d'euros;123.7
2020;1;8;Nou Barris;48;la Guineueta;Total. Milers d'euros;203.3
2020;1;8;Nou Barris;49;Canyelles;Total. Milers d'euros;180.0
2020;1;8;Nou Barris;50;les Roquetes;Total. Milers d'euros;173.1
2020;1;8;Nou Barris;51;Verdun;Total. Milers d'euros;177.0
2020;1;8;Nou Barris;52;la Prosperitat;Total. Milers d'euros;155.1
2020;1;8;Nou Barris;53;la Trinitat Nova;Total. Milers d'euros;99.1
2020;1;8;Nou Barris;54;Torre Baró;Total. Milers d'euros;
2020;1;8;Nou Barris;55;Ciutat Meridiana;Total. Milers d'euros;104.5
2020;1;8;Nou Barris;56;Vallbona;Total. Milers d'euros;
2020;1;9;Sant Andreu;57;la Trinitat Vella;Total. Milers d'euros;180.3
2020;1;9;Sant Andreu;58;Baró de Viver;Total. Milers d'euros;262.5
2020;1;9;Sant Andreu;59;el Bon Pastor;Total. Milers d'euros;128.8
2020;1;9;Sant Andreu;60;Sant Andreu;Total. Milers d'euros;247.7
2020;1;9;Sant Andreu;61;la Sagrera;Total. Milers d'euros;257.7
2020;1;9;Sant Andreu;62;el Congrés i els Indians;Total. Milers d'euros;245.5
2020;1;9;Sant Andreu;63;Navas;Total. Milers d'euros;394.6
2020;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Total. Milers d'euros;339.2
2020;1;10;Sant Martí;65;el Clot;Total. Milers d'euros;418.3
2020;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Total. Milers d'euros;438.3
2020;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Total. Milers d'euros;620.0
2020;1;10;Sant Martí;68;el Poblenou;Total. Milers d'euros;359.0
2020;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Total. Milers d'euros;768.8
2020;1;10;Sant Martí;70;el Besòs i el Maresme;Total. Milers d'euros;203.9
2020;1;10;Sant Martí;71;Provençals del Poblenou;Total. Milers d'euros;307.3
2020;1;10;Sant Martí;72;Sant Martí de Provençals;Total. Milers d'euros;286.3
2020;1;10;Sant Martí;73;la Verneda i la Pau;Total. Milers d'euros;168.5
2020;1;1;Ciutat Vella;1;el Raval;Nou. Milers d'euros;
2020;1;1;Ciutat Vella;2;el Barri Gòtic;Nou. Milers d'euros;531.6
2020;1;1;Ciutat Vella;3;la Barceloneta;Nou. Milers d'euros;198.4
2020;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Nou. Milers d'euros;323.3
2020;1;2;Eixample;5;el Fort Pienc;Nou. Milers d'euros;367.3
2020;1;2;Eixample;6;la Sagrada Família;Nou. Milers d'euros;
2020;1;2;Eixample;7;la Dreta de l'Eixample;Nou. Milers d'euros;219.0
2020;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Nou. Milers d'euros;581.9
2020;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Nou. Milers d'euros;264.0
2020;1;2;Eixample;10;Sant Antoni;Nou. Milers d'euros;
2020;1;3;Sants-Montjuïc;11;el Poble Sec;Nou. Milers d'euros;
2020;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Nou. Milers d'euros;
2020;1;3;Sants-Montjuïc;13;la Marina de Port;Nou. Milers d'euros;
2020;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Nou. Milers d'euros;107.0
2020;1;3;Sants-Montjuïc;15;Hostafrancs;Nou. Milers d'euros;195.0
2020;1;3;Sants-Montjuïc;16;la Bordeta;Nou. Milers d'euros;
2020;1;3;Sants-Montjuïc;17;Sants - Badal;Nou. Milers d'euros;326.8
2020;1;3;Sants-Montjuïc;18;Sants;Nou. Milers d'euros;413.0
2020;1;4;Les Corts;19;les Corts;Nou. Milers d'euros;460.3
2020;1;4;Les Corts;20;la Maternitat i Sant Ramon;Nou. Milers d'euros;396.2
2020;1;4;Les Corts;21;Pedralbes;Nou. Milers d'euros;2127.7
2020;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Nou. Milers d'euros;
2020;1;5;Sarrià-Sant Gervasi;23;Sarrià;Nou. Milers d'euros;705.0
2020;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Nou. Milers d'euros;
2020;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Nou. Milers d'euros;725.0
2020;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Nou. Milers d'euros;567.4
2020;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Nou. Milers d'euros;639.1
2020;1;6;Gràcia;28;Vallcarca i els Penitents;Nou. Milers d'euros;249.5
2020;1;6;Gràcia;29;el Coll;Nou. Milers d'euros;198.0
2020;1;6;Gràcia;30;la Salut;Nou. Milers d'euros;
